timestamp,x,y,z,w
1541874448774648,0.118469,0.430908,-0.605103,-0.658875
1541874448775650,0.113403,0.436523,-0.595886,-0.66449
1541874448776650,0.105042,0.444031,-0.583191,-0.672119
1541874448796666,0.085022,0.456909,-0.554565,-0.690308
1541874448835696,0.0773315,0.46582,-0.537598,-0.698608
1541874448838698,0.0679321,0.475342,-0.519714,-0.706665
1541874448856713,0.0526733,0.483521,-0.50177,-0.715332
1541874448877766,0.0324097,0.490112,-0.483643,-0.724487
1541874448894763,0.0101929,0.497131,-0.463684,-0.733337
1541874448961813,-0.0116577,0.505432,-0.440491,-0.741882
1541874448961813,-0.0338745,0.513428,-0.415283,-0.750244
1541874449014853,-0.0584106,0.518921,-0.390564,-0.758118
1541874449216050,-0.0859985,0.521912,-0.368225,-0.764648
1541874449456238,-0.11145,0.524475,-0.346313,-0.769836
1541874449458240,-0.130371,0.5271,-0.323792,-0.774841
1541874449479222,-0.124084,0.530701,-0.284851,-0.788635
1541874449481222,-0.12439,0.530457,-0.571228,-0.613953
1541874449517271,-0.119324,0.529968,-0.597717,-0.5896
1541874449524293,-0.113831,0.529297,-0.623657,-0.563965
1541874449526258,-0.108887,0.527588,-0.649109,-0.537109
1541874449548272,-0.105408,0.524109,-0.6745,-0.509216
1541874449560323,-0.102722,0.518799,-0.699341,-0.480896
1541874449583304,-0.10022,0.512146,-0.7229,-0.452942
1541874449597295,-0.0975952,0.505066,-0.744568,-0.425537
1541874449620315,-0.0952759,0.498657,-0.763489,-0.39917
1541874449643385,-0.0927734,0.493103,-0.779602,-0.374878
1541874449697388,-0.0900269,0.487915,-0.792969,-0.353638
1541874449718444,-0.0886841,0.483093,-0.80365,-0.336121
1541874449721429,-0.09375,0.478149,-0.81073,-0.324463
1541874449765428,-0.102295,0.473206,-0.81543,-0.317383
1541874449771451,-0.113708,0.467163,-0.81842,-0.314697
1541874449773447,-0.142029,0.455017,-0.818909,-0.319824
1541874449791501,-0.160889,0.452698,-0.813782,-0.327087
1541874449813484,-0.183105,0.450684,-0.805603,-0.338379
1541874449828495,-0.203064,0.446472,-0.797668,-0.351074
1541874449851494,-0.222534,0.444519,-0.786987,-0.36554
1541874449873567,-0.241516,0.446106,-0.772705,-0.381592
1541874449888578,-0.260986,0.44751,-0.756836,-0.39856
1541874449911544,-0.281128,0.446716,-0.740723,-0.41571
1541874449936562,-0.301025,0.444641,-0.723877,-0.433289
1541874449948586,-0.319092,0.443176,-0.7052,-0.452271
1541874449971642,-0.334534,0.442688,-0.68457,-0.472778
1541874449993625,-0.347168,0.443054,-0.662231,-0.49469
1541874450008637,-0.356689,0.444275,-0.638062,-0.518005
1541874450031636,-0.362793,0.446289,-0.612366,-0.54248
1541874450062714,-0.365479,0.448669,-0.585815,-0.567444
1541874450071667,-0.365601,0.450928,-0.559265,-0.591858
1541874450107695,-0.364075,0.452576,-0.533325,-0.61499
1541874450122718,-0.362183,0.453491,-0.508484,-0.636169
1541874450167746,-0.361084,0.453125,-0.48584,-0.654419
1541874450191778,-0.362122,0.451355,-0.467224,-0.668518
1541874450200789,-0.362732,0.450317,-0.455078,-0.677185
1541874450253825,-0.365234,0.450684,-0.443909,-0.682983
1541874450275847,-0.363342,0.453979,-0.44342,-0.682129
1541874450326877,-0.357666,0.464478,-0.45105,-0.673035
1541874450348939,-0.352722,0.473572,-0.457581,-0.664795
1541874450350941,-0.340149,0.489441,-0.473999,-0.648193
1541874450365914,-0.333557,0.495056,-0.487061,-0.637573
1541874450400945,-0.326782,0.500549,-0.504089,-0.623413
1541874450402927,-0.319763,0.50592,-0.524536,-0.605591
1541874450413955,-0.312805,0.510925,-0.547241,-0.584534
1541874450428963,-0.306274,0.514832,-0.570496,-0.56189
1541874450450980,-0.300232,0.516785,-0.59375,-0.538818
1541874450473985,-0.293152,0.51709,-0.617004,-0.515808
1541874450492051,-0.283875,0.518433,-0.637817,-0.493896
1541874450514015,-0.272888,0.52063,-0.656738,-0.472534
1541874450529037,-0.26178,0.52002,-0.677063,-0.450256
1541874450549097,-0.250854,0.51709,-0.697632,-0.427856
1541874450571075,-0.239563,0.513367,-0.717163,-0.405945
1541874450589074,-0.228271,0.508667,-0.735596,-0.384827
1541874450609091,-0.217773,0.502197,-0.75354,-0.364197
1541874450631125,-0.208191,0.49353,-0.770874,-0.344849
1541874450649140,-0.198792,0.48407,-0.786743,-0.327576
1541874450670137,-0.188965,0.476013,-0.799927,-0.312927
1541874450694156,-0.181885,0.469788,-0.809021,-0.302979
1541874450717190,-0.174866,0.464783,-0.815918,-0.296204
1541874450730185,-0.169678,0.460999,-0.820129,-0.293457
1541874450751221,-0.166199,0.459534,-0.82074,-0.296082
1541874450769235,-0.164001,0.461243,-0.817505,-0.303406
1541874450791246,-0.165344,0.466187,-0.810303,-0.314331
1541874450811269,-0.173279,0.472839,-0.799072,-0.328491
1541874450829281,-0.184204,0.474182,-0.789001,-0.344543
1541874450850298,-0.198364,0.47113,-0.779846,-0.361389
1541874450871311,-0.212341,0.468262,-0.769897,-0.377991
1541874450889328,-0.225342,0.468689,-0.757507,-0.394653
1541874450910344,-0.237854,0.470764,-0.743408,-0.411316
1541874450934365,-0.249878,0.471497,-0.729553,-0.427856
1541874450949375,-0.260986,0.47168,-0.715637,-0.444214
1541874450970392,-0.269897,0.474487,-0.699524,-0.461243
1541874450991444,-0.276184,0.480469,-0.680603,-0.479248
1541874451009420,-0.280457,0.487732,-0.659973,-0.497925
1541874451031421,-0.283752,0.494995,-0.638611,-0.516418
1541874451058461,-0.286438,0.502869,-0.616272,-0.53418
1541874451069470,-0.289429,0.510681,-0.593262,-0.550903
1541874451091470,-0.293213,0.518127,-0.569946,-0.566345
1541874451114500,-0.297974,0.52478,-0.546936,-0.580261
1541874451136505,-0.302734,0.53125,-0.523682,-0.593201
1541874451159522,-0.3078,0.537231,-0.501038,-0.604675
1541874451188544,-0.312561,0.542969,-0.479248,-0.614685
1541874451190546,-0.317383,0.548096,-0.45929,-0.622864
1541874451234596,-0.319092,0.55249,-0.444458,-0.628845
1541874451248610,-0.321594,0.556213,-0.432678,-0.632507
1541874451251609,-0.325256,0.559021,-0.423218,-0.634583
1541874451272650,-0.327393,0.562256,-0.414063,-0.636597
1541874451291639,-0.326172,0.566528,-0.404114,-0.639832
1541874451315646,-0.32135,0.571899,-0.393738,-0.643982
1541874451338672,-0.313477,0.578247,-0.38446,-0.647766
1541874451377705,-0.304871,0.584656,-0.377808,-0.650024
1541874451391724,-0.298157,0.588989,-0.375244,-0.650757
1541874451393705,-0.293152,0.59082,-0.37677,-0.650391
1541874451422745,-0.287415,0.591553,-0.381348,-0.649658
1541874451443768,-0.279602,0.592041,-0.388916,-0.648193
1541874451466782,-0.271423,0.591553,-0.399536,-0.64563
1541874451488834,-0.263489,0.588928,-0.413452,-0.642517
1541874451491798,-0.250977,0.585388,-0.430847,-0.639343
1541874451524862,-0.234314,0.581543,-0.44873,-0.636902
1541874451531833,-0.213013,0.577209,-0.466248,-0.635681
1541874451555838,-0.186951,0.573975,-0.482239,-0.634888
1541874451578882,-0.157104,0.571899,-0.496643,-0.633789
1541874451600869,-0.127319,0.569397,-0.511047,-0.631226
1541874451639899,-0.100037,0.564941,-0.526245,-0.627625
1541874451681952,-0.0762939,0.558472,-0.542114,-0.62323
1541874451692950,-0.0557251,0.550415,-0.557434,-0.61908
1541874451735993,-0.0380249,0.541748,-0.571472,-0.615234
1541874451745989,-0.0149536,0.526245,-0.59137,-0.61084
1541874451752000,-0.00280762,0.512939,-0.600281,-0.613647
1541874451788035,0.000549316,0.509888,-0.599243,-0.617188
1541874451791018,0.000488281,0.508362,-0.59552,-0.62207
1541874451812050,-0.00305176,0.508118,-0.589172,-0.628296
1541874451834052,-0.00891113,0.509094,-0.580078,-0.635803
1541874451863085,-0.0161133,0.511047,-0.567749,-0.645203
1541874451878086,-0.0239258,0.513794,-0.552002,-0.656372
1541874451899158,-0.0283203,0.516602,-0.534668,-0.668213
1541874451916116,-0.0327148,0.52002,-0.51532,-0.680481
1541874451970172,-0.0377808,0.522339,-0.4953,-0.693176
1541874451982182,-0.0430298,0.52356,-0.47467,-0.706238
1541874452066254,-0.0504761,0.527222,-0.427124,-0.732849
1541874452089306,-0.0510254,0.533936,-0.369568,-0.758789
1541874452104263,-0.0491333,0.539734,-0.31012,-0.781067
1541874452150299,-0.0501099,0.5448,-0.254089,-0.797607
1541874452172353,-0.0512085,0.54718,-0.227051,-0.804016
1541874452173321,-0.0519409,0.549561,-0.200195,-0.809448
1541874452405501,-0.0519409,0.552124,-0.173401,-0.813904
1541874452426536,-0.0515137,0.554688,-0.14679,-0.817383
1541874452442548,-0.0958862,0.588867,-0.0172729,-0.802368
1541874452448540,-0.0910645,0.589539,-0.0209961,-0.802307
1541874452463564,-0.0853271,0.589294,-0.026001,-0.802979
1541874452472572,-0.0803223,0.588684,-0.0325317,-0.803711
1541874452493586,-0.0770874,0.587708,-0.0410156,-0.804382
1541874452515598,-0.0760498,0.58667,-0.0512085,-0.804626
1541874452546630,-0.0779419,0.585327,-0.0626831,-0.804626
1541874452599652,-0.0822754,0.583008,-0.0753174,-0.80481
1541874452628732,-0.0860596,0.579834,-0.0878296,-0.80542
1541874452653696,-0.0870361,0.571106,-0.111267,-0.808655
1541874452675732,-0.0836182,0.565613,-0.123291,-0.811096
1541874452696732,-0.0700073,0.554749,-0.152954,-0.81488
1541874452698730,-0.0621948,0.5495,-0.169861,-0.815674
1541874452750791,-0.0551758,0.54248,-0.187378,-0.817078
1541874452772805,-0.0482788,0.536499,-0.204346,-0.817383
1541874452773789,-0.0408325,0.53064,-0.220764,-0.817383
1541874452846877,-0.0328979,0.525696,-0.236206,-0.816528
1541874452862862,-0.0268555,0.521484,-0.250916,-0.815125
1541874452885896,-0.0194702,0.512024,-0.290222,-0.808228
