timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1541874449784496,1,3,4,1,-3,-4,-1,2
1541874449785462,-5,-7,-4,-3,-4,-6,-8,-11
1541874449785462,-2,0,0,-3,-2,-5,-4,-6
1541874449799473,5,0,2,1,1,-1,2,2
1541874449799473,1,-2,5,-1,0,-1,-2,-22
1541874449800475,-2,-4,-7,-4,-4,-4,-9,3
1541874449800475,3,-2,4,-3,-1,0,1,4
1541874449821489,0,2,-2,0,-1,0,1,2
1541874449821489,-4,-2,-1,-1,-5,-2,-2,-1
1541874449822473,1,0,-1,-1,-4,-4,-1,3
1541874449822473,5,1,2,-1,-5,-6,-4,-2
1541874449844544,9,6,0,-3,-4,-6,-5,-6
1541874449844544,6,4,3,0,-1,-1,-1,-3
1541874449845509,2,-2,1,-1,-1,-3,-3,-2
1541874449845509,-1,-1,-2,-1,1,0,-2,-8
1541874449859555,-1,-4,-1,-2,-2,-2,0,3
1541874449859555,0,-4,-3,-2,-1,1,-3,-3
1541874449860530,-1,0,-2,1,2,1,1,2
1541874449860530,-6,-3,-3,-1,1,2,-1,2
1541874449881573,-4,-2,-2,0,2,2,1,3
1541874449881573,-4,-1,-3,-1,2,1,2,2
1541874449882519,-5,-3,-2,0,0,2,0,-1
1541874449882519,-4,-2,-2,0,-2,1,1,1
1541874449904590,-3,-1,-3,2,0,-1,1,2
1541874449904590,-3,0,1,-1,0,0,-1,-4
1541874449905565,-4,1,-1,-1,-2,-2,-3,0
1541874449905565,-2,-1,-3,0,-2,-3,-1,0
1541874449934579,0,-2,1,-1,-1,-2,-1,-1
1541874449934579,-2,-1,-1,0,-4,-1,-3,-3
1541874449935562,1,1,0,-2,0,-2,-1,-1
1541874449935562,0,-4,-1,0,0,0,-1,0
1541874449941584,-1,-1,4,-2,0,0,0,-1
1541874449941584,-1,-3,-1,-1,0,-2,-2,-2
1541874449942585,-1,0,1,-2,0,-1,-1,-1
1541874449942585,0,1,4,-1,0,-2,-1,-3
1541874449964638,1,2,1,0,0,0,1,2
1541874449964638,-3,-4,-4,-2,-2,-2,-3,-3
1541874449965599,-2,0,1,0,-3,-4,-2,-1
1541874449965599,0,-2,-4,-1,1,0,-1,-1
1541874449986619,-1,0,-4,-2,-2,-2,-2,-2
1541874449986619,1,-1,-1,-4,-1,-1,-2,-1
1541874449987610,0,-1,-1,4,1,2,-1,0
1541874449987610,-2,0,-3,-4,-5,-4,-2,1
1541874450001631,0,-1,-2,2,6,1,1,0
1541874450001631,1,2,4,3,1,1,1,1
1541874450002632,-3,-6,-4,-4,-4,-4,-4,-5
1541874450002632,0,0,-1,4,2,-1,1,1
