timestamp,x,y,z
1541872950161359,-0.194824,-0.735352,0.648438
1541872950186396,-0.201172,-0.745605,0.658203
1541872950206397,-0.199219,-0.746582,0.656738
1541872950221409,-0.206543,-0.754883,0.652344
1541872950245429,-0.208984,-0.758301,0.642578
1541872950266460,-0.200684,-0.760254,0.632324
1541872950323503,-0.194336,-0.762207,0.644531
1541872950324495,-0.195313,-0.756836,0.633789
1541872950325505,-0.199219,-0.750977,0.647461
1541872950338517,-0.202637,-0.750977,0.646484
1541872950356535,-0.202637,-0.752441,0.651855
1541872950379558,-0.199707,-0.754395,0.650391
1541872950398569,-0.193359,-0.755859,0.657715
1541872950433640,-0.194824,-0.752441,0.65625
1541872950439608,-0.20166,-0.758301,0.65625
1541872950454620,-0.204102,-0.755859,0.650391
1541872950485641,-0.202148,-0.746582,0.649902
1541872950491651,-0.189453,-0.752441,0.645508
1541872950513669,-0.187988,-0.745605,0.645996
1541872950536687,-0.191406,-0.763672,0.643555
1541872950551701,-0.196777,-0.751465,0.640137
1541872950573718,-0.187012,-0.760254,0.64209
1541872950596738,-0.202148,-0.763184,0.651367
1541872950611750,-0.194336,-0.753906,0.65332
1541872950633803,-0.193848,-0.757813,0.648438
1541872950656786,-0.189941,-0.757813,0.657715
1541872950671795,-0.19043,-0.749023,0.650391
1541872950693817,-0.190918,-0.756836,0.645508
1541872950716831,-0.1875,-0.76416,0.647461
1541872950731848,-0.185547,-0.768555,0.645996
1541872950753867,-0.185059,-0.769531,0.646484
1541872950776885,-0.191895,-0.76709,0.657227
1541872950791894,-0.185547,-0.760742,0.649902
1541872950813916,-0.181152,-0.759277,0.654785
1541872950836919,-0.178223,-0.765625,0.65918
1541872950851957,-0.181641,-0.756836,0.653809
1541872950873965,-0.188965,-0.756836,0.652832
1541872950895984,-0.189453,-0.749512,0.649414
1541872950910995,-0.1875,-0.758301,0.649902
1541872950934051,-0.17334,-0.777832,0.650879
1541872950956034,-0.166016,-0.776855,0.647949
1541872950973047,-0.168457,-0.761719,0.649902
1541872950994064,-0.177734,-0.748047,0.63623
1541872951016082,-0.174316,-0.75,0.648438
1541872951031078,-0.168945,-0.756348,0.64502
1541872951054098,-0.154297,-0.754395,0.651367
1541872951076115,-0.154785,-0.769531,0.658691
1541872951091144,-0.156738,-0.77002,0.660156
1541872951114147,-0.166016,-0.758789,0.655762
1541872951136218,-0.164551,-0.766602,0.659668
1541872951151194,-0.15625,-0.768555,0.662109
1541872951174194,-0.138672,-0.769531,0.66748
1541872951196232,-0.140137,-0.775391,0.664551
1541872951211245,-0.141113,-0.769043,0.666016
1541872951234263,-0.147949,-0.758789,0.669434
1541872951256280,-0.147949,-0.754883,0.673828
1541872951271288,-0.139648,-0.754883,0.667969
1541872951294313,-0.132324,-0.748047,0.663086
