timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1541872950328508,1,11,-7,-9,1,0,0,-2
1541872950328508,-1,2,10,-3,-3,-3,-1,-1
1541872950329507,1,-27,-11,-10,-1,-1,-1,-7
1541872950329507,1,20,5,20,3,0,6,3
1541872950330509,-5,-2,2,-20,-4,0,-18,-3
1541872950330509,-5,-6,-16,-42,-2,0,4,2
1541872950330509,2,2,9,45,-3,-1,-3,2
1541872950330509,8,-1,-15,-36,-5,-3,13,1
1541872950337515,-16,-21,8,22,4,2,17,1
1541872950337515,-15,4,6,14,1,-1,-20,-6
1541872950341517,5,39,1,-10,3,0,-12,2
1541872950341517,-3,-13,-8,5,2,2,8,-2
1541872950351517,5,8,4,-13,-6,-3,0,8
1541872950351517,18,-13,-13,16,0,2,4,5
1541872950365543,9,3,8,-9,-4,-4,4,-3
1541872950365543,2,-3,6,11,5,0,-14,-5
1541872950371551,-3,7,2,-10,0,0,-2,0
1541872950371551,10,10,-19,-32,-9,-4,-2,-1
1541872950396572,1,-2,10,12,1,1,-1,1
1541872950396572,-5,-3,-7,14,-3,-1,-4,1
1541872950397573,0,-43,-11,4,-1,-3,-1,-4
1541872950397573,-2,6,2,34,3,-1,5,-1
1541872950434591,18,0,5,-10,-2,-1,8,3
1541872950434591,-5,-5,-1,-4,2,1,-1,-3
1541872950434591,-15,-4,-17,-11,-3,-1,-4,-2
1541872950434591,40,5,10,31,-2,-3,-1,0
1541872950435585,-12,8,3,-18,0,-1,-15,-4
1541872950435585,38,1,2,9,-1,-1,29,3
1541872950440609,-44,17,5,-15,2,-2,-37,-6
1541872950440609,-1,4,-8,-2,-5,-1,5,2
1541872950446615,-6,-4,-9,-6,1,-1,-5,6
1541872950446615,11,-1,7,2,-8,-5,-2,0
1541872950455622,10,-6,0,15,2,-1,3,3
1541872950455622,6,-10,-1,2,1,-1,-1,-9
1541872950461625,-4,-16,-10,-29,-5,-1,2,4
1541872950461625,-15,-6,-6,27,4,-1,-9,-2
1541872950485641,14,-1,-6,-18,-4,0,10,-2
1541872950485641,-14,-5,-1,-26,-8,-2,-7,1
1541872950486628,4,-8,-13,11,3,-1,2,-5
1541872950486628,-7,11,11,-3,1,0,-4,1
1541872950506663,6,-7,-6,10,1,-1,7,2
1541872950506663,-5,-6,-12,-4,0,1,0,1
1541872950507643,-10,6,21,30,0,-1,-2,-6
1541872950507643,9,-4,-13,-34,-3,0,0,1
1541872950521676,-19,12,22,14,4,-1,-5,-5
1541872950521676,-12,-4,-7,-21,-6,-2,-6,0
1541872950528681,9,10,4,10,-2,-2,20,-1
1541872950528681,-2,1,-7,-10,5,1,-18,-2
1541872950544694,13,-7,-2,8,-3,-1,16,-1
1541872950544694,-5,1,-7,11,1,-2,-12,-6
1541872950545695,-2,4,7,9,-2,0,-2,0
1541872950545695,-4,43,5,15,3,2,6,-1
1541872950566712,15,-1,-10,-23,-3,-1,3,1
1541872950566712,-44,-1,25,-29,-8,-3,-4,-4
1541872950567695,13,-3,-15,12,1,-1,-2,3
1541872950567695,-28,-14,21,11,-3,-2,-5,-7
