timestamp,x,y,z,w
1541872381098490,-0.310303,0.0286865,-0.115967,0.943054
1541872381120543,-0.310791,0.02948,-0.115234,0.942993
1541872381135541,-0.311096,0.0299683,-0.114502,0.942932
1541872381158541,-0.312195,0.0302124,-0.113708,0.942688
1541872381180566,-0.314331,0.0303345,-0.112671,0.942078
1541872381195589,-0.316162,0.0303345,-0.112,0.941589
1541872381234622,-0.31781,0.0303345,-0.111511,0.94104
1541872381236615,-0.319214,0.0303345,-0.110901,0.940674
1541872381249630,-0.320679,0.0301514,-0.110046,0.940247
1541872381272635,-0.322144,0.0297852,-0.108704,0.939941
1541872381286660,-0.323547,0.029541,-0.107483,0.939636
1541872381315688,-0.324219,0.0292969,-0.106384,0.939514
1541872381359725,-0.325806,0.0292969,-0.105164,0.939087
1541872381369734,-0.327209,0.0289917,-0.103821,0.938782
1541872381370714,-0.328125,0.0284424,-0.102234,0.93866
1541872381383726,-0.32959,0.027832,-0.10083,0.938293
1541872381404762,-0.330444,0.0270996,-0.0994263,0.938171
1541872381427781,-0.331238,0.0264893,-0.0975342,0.93811
1541872381445795,-0.332764,0.0257568,-0.0953369,0.937805
1541872381464811,-0.334534,0.0249634,-0.0930786,0.937439
1541872381487826,-0.336487,0.0244141,-0.0908813,0.936951
1541872381505827,-0.338623,0.0239258,-0.088623,0.936401
1541872381524856,-0.340942,0.0237427,-0.0860596,0.935852
1541872381550863,-0.343872,0.0237427,-0.083252,0.934998
1541872381564894,-0.347351,0.0238037,-0.0805054,0.93396
1541872381584910,-0.350891,0.0238647,-0.0778809,0.932861
1541872381607924,-0.354858,0.0234985,-0.0757446,0.931519
1541872381624945,-0.35907,0.022644,-0.0736694,0.930115
1541872381644960,-0.363647,0.0211182,-0.0717773,0.928528
1541872381666978,-0.368652,0.0185547,-0.0705566,0.926697
1541872381684987,-0.374878,0.0145874,-0.0701294,0.924255
1541872381704993,-0.383362,0.00866699,-0.0702515,0.920898
1541872381727063,-0.393982,0.00177002,-0.0700073,0.916443
1541872381745026,-0.403687,-0.00476074,-0.0697021,0.91217
1541872381766083,-0.411804,-0.0109253,-0.0704346,0.908447
1541872381787077,-0.421448,-0.0172729,-0.0728149,0.903748
1541872381805074,-0.432373,-0.0217285,-0.0754395,0.898254
1541872381826107,-0.442017,-0.024353,-0.0787354,0.893188
1541872381847163,-0.448059,-0.0250854,-0.0825806,0.889832
1541872381865132,-0.450195,-0.024292,-0.0870972,0.888367
1541872381886139,-0.449524,-0.0217896,-0.0924072,0.888184
1541872381907176,-0.449646,-0.017395,-0.0980835,0.887634
1541872381925173,-0.451965,-0.0109863,-0.103455,0.885925
1541872381946198,-0.454163,-0.00384521,-0.108765,0.884216
1541872381967225,-0.455261,0.00360107,-0.114502,0.882935
1541872381985220,-0.455261,0.0108643,-0.121521,0.881958
1541872382006238,-0.455872,0.0179443,-0.129639,0.880371
1541872382027294,-0.456238,0.0245361,-0.13916,0.87854
1541872382045270,-0.456177,0.0307007,-0.149109,0.87677
1541872382066287,-0.456177,0.0361328,-0.159363,0.874756
1541872382087315,-0.458191,0.0396118,-0.169922,0.871582
1541872382106323,-0.460632,0.0404663,-0.180908,0.868042
1541872382126345,-0.462891,0.0396729,-0.192993,0.864258
1541872382147369,-0.465515,0.0380249,-0.2052,0.860107
1541872382165370,-0.470154,0.0353394,-0.217163,0.854675
1541872382188404,-0.477722,0.032959,-0.229858,0.847229
1541872382207423,-0.48291,0.0299683,-0.243225,0.840698
1541872382225434,-0.487122,0.0233765,-0.257874,0.834045
1541872382254445,-0.49176,0.0151978,-0.272583,0.826843
1541872382268512,-0.496948,0.0057373,-0.287903,0.818604
1541872382284482,-0.502075,-0.00592041,-0.30249,0.810181
1541872382307501,-0.508301,-0.0183716,-0.316772,0.800598
1541872382328558,-0.515076,-0.0303955,-0.329895,0.790527
1541872382350542,-0.520752,-0.0423584,-0.342712,0.780762
1541872382367551,-0.526001,-0.0548096,-0.354553,0.771118
1541872382389565,-0.529236,-0.0685425,-0.366028,0.762451
1541872382410626,-0.530823,-0.0853271,-0.376038,0.7547
1541872382426604,-0.532959,-0.100769,-0.38501,0.746704
1541872382449604,-0.534729,-0.11438,-0.393555,0.739014
1541872382470675,-0.536316,-0.123718,-0.40094,0.732361
1541872382486646,-0.539673,-0.13092,-0.407776,0.724792
1541872382509653,-0.54303,-0.138794,-0.412537,0.718079
