timestamp,roll,pitch,yaw
1541874448774648,-0.845594,-0.438362,1.68554
1541874448775650,-0.846844,-0.461152,1.67288
1541874448776650,-0.846081,-0.494242,1.65558
1541874448796666,-0.832458,-0.566302,1.60945
1541874448835696,-0.832514,-0.603716,1.58537
1541874448838698,-0.830739,-0.645007,1.56092
1541874448856713,-0.816399,-0.693062,1.53326
1541874448877766,-0.788826,-0.746142,1.50026
1541874448894763,-0.75531,-0.803338,1.46153
1541874448961813,-0.719148,-0.86364,1.41469
1541874448961813,-0.673724,-0.924845,1.3568
1541874449014853,-0.608577,-0.983483,1.28471
1541874449216050,-0.521152,-1.0382,1.19999
1541874449456238,-0.423665,-1.08588,1.10363
1541874449458240,-0.327284,-1.12268,0.998617
1541874449479222,-0.256876,-1.13789,0.858157
1541874449481222,-0.84002,-0.916473,1.93238
1541874449517271,-0.877143,-0.87506,2.01643
1541874449524293,-0.909581,-0.831573,2.09651
1541874449526258,-0.93452,-0.786809,2.1719
1541874449548272,-0.950479,-0.742273,2.24355
1541874449560323,-0.958139,-0.697955,2.31043
1541874449583304,-0.959499,-0.654601,2.37183
1541874449597295,-0.957635,-0.612826,2.42872
1541874449620315,-0.955421,-0.574699,2.48175
1541874449643385,-0.953401,-0.540261,2.52923
1541874449697388,-0.950143,-0.509645,2.56898
1541874449718444,-0.945512,-0.486231,2.60168
1541874449721429,-0.93693,-0.480582,2.62694
1541874449765428,-0.926277,-0.486125,2.64563
1541874449771451,-0.911034,-0.500829,2.65672
1541874449773447,-0.87583,-0.551151,2.66019
1541874449791501,-0.864883,-0.591974,2.65692
1541874449813484,-0.852187,-0.643531,2.6466
1541874449828495,-0.832066,-0.691178,2.62785
1541874449851494,-0.815319,-0.741292,2.60446
1541874449873567,-0.805363,-0.79477,2.578
1541874449888578,-0.791943,-0.850736,2.54651
1541874449911544,-0.768436,-0.907367,2.50803
1541874449936562,-0.735223,-0.963382,2.46019
1541874449948586,-0.694932,-1.01773,2.39976
1541874449971642,-0.646177,-1.06877,2.32402
1541874449993625,-0.586284,-1.11557,2.2307
1541874450008637,-0.512603,-1.15663,2.11663
1541874450031636,-0.424527,-1.19043,1.98156
1541874450062714,-0.323976,-1.21507,1.829
1541874450071667,-0.216225,-1.23065,1.66748
1541874450107695,-0.107,-1.23759,1.50509
1541874450122718,-0.00112437,-1.23858,1.34971
1541874450167746,0.0980076,-1.23432,1.20769
1541874450191778,0.186727,-1.22813,1.08837
1541874450200789,0.240981,-1.22275,1.01418
1541874450253825,0.293365,-1.22228,0.946517
1541874450275847,0.279953,-1.22727,0.955124
1541874450326877,0.1971,-1.24648,1.03926
1541874450348939,0.117035,-1.26119,1.12024
1541874450350941,-0.0793668,-1.27636,1.32193
1541874450365914,-0.195544,-1.27371,1.44972
1541874450400945,-0.328339,-1.26482,1.60168
1541874450402927,-0.468319,-1.24757,1.76768
1541874450413955,-0.601046,-1.22165,1.93227
1541874450428963,-0.711217,-1.18904,2.07804
1541874450450980,-0.793305,-1.15164,2.1987
1541874450473985,-0.852564,-1.10886,2.29719
1541874450492051,-0.901605,-1.06384,2.37872
1541874450514015,-0.943259,-1.01686,2.44795
1541874450529037,-0.968433,-0.966262,2.50626
1541874450549097,-0.980745,-0.914879,2.55525
1541874450571075,-0.98676,-0.863942,2.59741
1541874450589074,-0.987002,-0.814421,2.63352
1541874450609091,-0.980566,-0.767029,2.66538
1541874450631125,-0.966567,-0.722636,2.69183
1541874450649140,-0.949196,-0.681469,2.71285
1541874450670137,-0.934354,-0.64379,2.7291
1541874450694156,-0.922396,-0.617463,2.73927
1541874450717190,-0.91217,-0.595222,2.74381
1541874450730185,-0.903414,-0.581026,2.74243
1541874450751221,-0.898202,-0.576306,2.73292
1541874450769235,-0.898835,-0.580009,2.71674
1541874450791246,-0.906039,-0.595631,2.69812
1541874450811269,-0.915998,-0.628055,2.67903
1541874450829281,-0.910571,-0.665468,2.65335
1541874450850298,-0.89172,-0.707466,2.62306
1541874450871311,-0.871652,-0.749072,2.59092
1541874450889328,-0.859009,-0.791396,2.55908
1541874450910344,-0.849306,-0.834426,2.52645
1541874450934365,-0.833596,-0.875813,2.48957
1541874450949375,-0.813726,-0.915055,2.44867
1541874450970392,-0.79861,-0.953259,2.40477
1541874450991444,-0.78998,-0.990811,2.35772
1541874451009420,-0.782068,-1.02728,2.30591
1541874451031421,-0.771185,-1.06268,2.24995
1541874451058461,-0.759992,-1.09799,2.19252
1541874451069470,-0.745562,-1.13394,2.13286
1541874451091470,-0.726064,-1.17092,2.07058
1541874451114500,-0.698798,-1.20816,2.00437
1541874451136505,-0.663637,-1.24485,1.93124
1541874451159522,-0.618764,-1.28043,1.85138
1541874451188544,-0.564654,-1.31357,1.76448
1541874451190546,-0.500322,-1.34368,1.67174
1541874451234596,-0.450058,-1.36309,1.59781
1541874451248610,-0.403706,-1.38031,1.53477
1541874451251609,-0.353898,-1.39621,1.47446
1541874451272650,-0.307971,-1.40927,1.41584
1541874451291639,-0.271767,-1.41957,1.36064
1541874451315646,-0.256005,-1.42674,1.31967
1541874451338672,-0.278398,-1.43051,1.31367
1541874451377705,-0.335076,-1.43245,1.34542
1541874451391724,-0.397968,-1.43169,1.39357
1541874451393705,-0.456774,-1.42527,1.44651
1541874451422745,-0.522698,-1.41459,1.51118
1541874451443768,-0.602214,-1.39736,1.59122
1541874451466782,-0.674676,-1.37419,1.66868
1541874451488834,-0.725069,-1.34525,1.73036
1541874451491798,-0.771541,-1.30466,1.78757
1541874451524862,-0.807425,-1.25665,1.82937
1541874451531833,-0.833406,-1.20121,1.85445
1541874451555838,-0.861849,-1.14119,1.87302
1541874451578882,-0.893804,-1.07792,1.88754
1541874451600869,-0.922419,-1.01403,1.89979
1541874451639899,-0.941221,-0.951746,1.90836
1541874451681952,-0.950552,-0.892803,1.91481
1541874451692950,-0.951953,-0.83848,1.91775
1541874451735993,-0.94908,-0.78959,1.9188
1541874451745989,-0.935204,-0.721603,1.91495
1541874451752000,-0.912319,-0.685291,1.89533
1541874451788035,-0.905483,-0.679924,1.88206
1541874451791018,-0.897802,-0.683992,1.86686
1541874451812050,-0.888221,-0.697225,1.84906
1541874451834052,-0.877344,-0.717769,1.82762
1541874451863085,-0.864679,-0.744705,1.79991
1541874451878086,-0.849812,-0.77665,1.76458
1541874451899158,-0.836345,-0.804788,1.72354
1541874451916116,-0.821663,-0.83522,1.6782
1541874451970172,-0.800216,-0.865734,1.62686
1541874451982182,-0.772044,-0.895249,1.56896
1541874452066254,-0.708794,-0.954227,1.43339
1541874452089306,-0.641617,-1.01221,1.27074
1541874452104263,-0.558895,-1.06257,1.09001
1541874452150299,-0.45612,-1.1074,0.901851
1541874452172353,-0.397272,-1.12702,0.803482
1541874452173321,-0.334968,-1.14444,0.701855
1541874452405501,-0.270959,-1.1599,0.597971
1541874452426536,-0.204393,-1.17298,0.491458
1541874452442548,0.434032,-1.2478,-0.27169
1541874452448540,0.398453,-1.25262,-0.237782
1541874452463564,0.350605,-1.25587,-0.191022
1541874452472572,0.299582,-1.25804,-0.13783
1541874452493586,0.249647,-1.25907,-0.0803446
1541874452515598,0.204705,-1.25934,-0.0222712
1541874452546630,0.170317,-1.25876,0.0313652
1541874452599652,0.144457,-1.25585,0.0817254
1541874452628732,0.11704,-1.25048,0.132734
1541874452653696,0.0410978,-1.2316,0.244427
1541874452675732,-0.0110493,-1.21725,0.309391
1541874452696732,-0.147326,-1.18241,0.470133
1541874452698730,-0.215999,-1.16188,0.552741
1541874452750791,-0.272177,-1.13652,0.625316
1541874452772805,-0.322707,-1.11244,0.691674
1541874452773789,-0.368794,-1.08757,0.752216
1541874452846877,-0.412183,-1.06344,0.807885
1541874452862862,-0.446941,-1.04242,0.856778
1541874452885896,-0.510139,-0.995379,0.970954
1541874452958989,-0.522844,-0.985862,1.00375
1541874452961960,-0.533303,-0.979557,1.03566
1541874452982953,-0.543002,-0.976212,1.06861
1541874452986977,-0.562082,-0.981222,1.17173
1541874453010030,-0.568982,-0.984675,1.20636
1541874453017000,-0.578239,-0.986713,1.23906
1541874453033011,-0.590603,-0.987371,1.26976
1541874453062016,-0.60442,-0.987027,1.29715
1541874453077047,-0.619219,-0.984832,1.3215
1541874453094044,-0.635094,-0.980844,1.34408
1541874453116059,-0.652293,-0.975006,1.36762
1541874453139089,-0.667273,-0.968464,1.39173
1541874453161110,-0.679249,-0.961621,1.41526
1541874453183132,-0.689508,-0.95483,1.43881
1541874453214155,-0.699683,-0.94814,1.46263
1541874453216150,-0.711525,-0.941782,1.48711
1541874453236168,-0.72511,-0.93581,1.51377
1541874453266188,-0.738947,-0.928392,1.54238
1541874453273182,-0.750231,-0.919051,1.57134
1541874453296220,-0.7584,-0.908938,1.59978
1541874453317249,-0.766013,-0.898368,1.62701
1541874453341272,-0.774544,-0.887991,1.65236
1541874453363268,-0.784483,-0.877481,1.67687
1541874453384289,-0.796201,-0.867793,1.70161
1541874453393286,-0.808368,-0.857633,1.72679
1541874453439331,-0.818851,-0.847216,1.75127
1541874453441313,-0.828537,-0.835338,1.7756
1541874453461330,-0.838357,-0.821976,1.79957
1541874453476356,-0.850473,-0.806769,1.82399
1541874453497376,-0.864648,-0.789913,1.84941
1541874453519390,-0.878083,-0.771032,1.87583
1541874453544412,-0.889117,-0.751534,1.90314
1541874453564429,-0.899371,-0.73162,1.9315
1541874453573418,-0.909784,-0.710437,1.96173
1541874453596435,-0.919732,-0.687916,1.9933
1541874453618453,-0.927454,-0.663494,2.02442
1541874453640470,-0.933642,-0.638606,2.05431
1541874453656484,-0.940144,-0.614047,2.08314
1541874453693531,-0.947863,-0.589671,2.11058
1541874453695525,-0.955169,-0.56643,2.13544
1541874453716530,-0.962833,-0.544134,2.15698
1541874453737557,-0.972326,-0.524223,2.17636
1541874453752559,-0.985187,-0.502519,2.19629
1541874453775596,-0.995937,-0.478997,2.21696
1541874453798613,-1.00061,-0.454667,2.23657
1541874453812608,-1.00233,-0.429939,2.25592
1541874453835642,-1.0069,-0.404358,2.27595
1541874453858661,-1.01206,-0.379066,2.29582
1541874453872663,-1.01529,-0.350642,2.31689
1541874453895670,-1.01732,-0.320659,2.33848
1541874453918689,-1.0185,-0.28866,2.35972
1541874453932702,-1.02036,-0.256153,2.38222
1541874453955738,-1.02239,-0.221886,2.40575
1541874453978757,-1.02266,-0.188672,2.42946
1541874453999752,-1.02118,-0.155628,2.45186
1541874454015765,-1.02054,-0.122903,2.47306
1541874454038783,-1.02086,-0.0909722,2.49375
1541874454059799,-1.01988,-0.0597453,2.51353
1541874454083857,-1.01704,-0.0297117,2.53355
1541874454098850,-1.01291,-0.00456432,2.55537
1541874454119902,-1.00914,0.0106583,2.5722
1541874454135859,-1.01089,0.0230422,2.58501
1541874454158933,-1.00652,0.0348502,2.59268
1541874454179948,-1.00766,0.0536207,2.59674
1541874454195906,-1.00486,0.0745536,2.60182
1541874454218944,-0.999988,0.0928021,2.61343
1541874454239960,-0.985059,0.10562,2.63022
1541874454255008,-0.969668,0.115992,2.65023
1541874454261974,-0.959943,0.123704,2.67293
1541874454283998,-0.951981,0.127288,2.70045
1541874454306013,-0.942869,0.126038,2.7318
1541874454332028,-0.935709,0.121913,2.76517
1541874454345058,-0.92915,0.115271,2.79976
1541874454366041,-0.920196,0.103344,2.83464
1541874454381054,-0.911608,0.0895313,2.86849
1541874454404089,-0.908688,0.0747545,2.90028
1541874454426106,-0.910615,0.0593009,2.93148
1541874454441102,-0.910472,0.0439957,2.96234
1541874454464172,-0.907253,0.0302815,2.99363
1541874454486154,-0.903359,0.0183475,3.02518
1541874454501165,-0.901597,0.00562663,3.0568
1541874454524219,-0.903147,-0.0103188,3.08703
1541874454546206,-0.905585,-0.0289919,3.11633
