timestamp,x,y,z
1541874448774648,0.855957,-0.306641,0.444824
1541874448775650,0.969727,-0.474121,0.500977
1541874448776650,0.954102,-0.538574,0.506348
1541874448796666,0.467285,-0.249512,0.586914
1541874448835696,0.319824,-0.331055,0.599609
1541874448838698,0.378418,-0.579102,0.591797
1541874448856713,0.621582,-0.703125,0.495117
1541874448877766,0.727051,-0.632324,0.436035
1541874448894763,0.806641,-0.584961,0.43457
1541874448961813,0.85791,-0.579102,0.382324
1541874448961813,0.891602,-0.635254,0.326172
1541874449014853,0.87793,-0.636719,0.308594
1541874449216050,0.853027,-0.46582,0.312012
1541874449456238,0.879883,-0.251953,0.303223
1541874449458240,0.91748,-0.124512,0.313965
1541874449479222,1.01514,-0.5625,0.303711
1541874449481222,1.05811,-0.347168,0.125488
1541874449517271,0.967285,-0.396484,0.144043
1541874449524293,0.912109,-0.45752,0.149902
1541874449526258,0.893066,-0.478027,0.159668
1541874449548272,0.876465,-0.460938,0.133301
1541874449560323,0.890625,-0.43457,0.106445
1541874449583304,0.891602,-0.395996,0.132324
1541874449597295,0.908691,-0.388184,0.160156
1541874449620315,0.875488,-0.412109,0.176758
1541874449643385,0.869629,-0.445313,0.198242
1541874449697388,0.805176,-0.487793,0.251953
1541874449718444,0.739746,-0.518555,0.34082
1541874449721429,0.781738,-0.508789,0.379395
1541874449765428,0.891113,-0.446777,0.381836
1541874449771451,0.936035,-0.335938,0.388184
1541874449773447,0.840332,-0.224609,0.474609
1541874449791501,1.02393,-0.400391,0.46582
1541874449813484,1.09131,-0.442871,0.416016
1541874449828495,0.92627,-0.251953,0.435547
1541874449851494,0.873047,-0.171875,0.466309
1541874449873567,0.90332,-0.243164,0.459961
1541874449888578,0.962402,-0.319824,0.418945
1541874449911544,0.976563,-0.324219,0.369629
1541874449936562,0.979492,-0.307129,0.306152
1541874449948586,0.952148,-0.316895,0.269531
1541874449971642,0.922363,-0.344238,0.253906
1541874449993625,0.907715,-0.381836,0.266602
1541874450008637,0.894531,-0.406738,0.277344
1541874450031636,0.89502,-0.412598,0.300293
1541874450062714,0.879883,-0.447266,0.30957
1541874450071667,0.862793,-0.462402,0.328125
1541874450107695,0.865234,-0.452148,0.341309
1541874450122718,0.861328,-0.421875,0.355469
1541874450167746,0.840332,-0.388184,0.349121
1541874450191778,0.822266,-0.34082,0.364746
1541874450200789,0.814941,-0.28125,0.352051
1541874450253825,0.925781,-0.250977,0.338379
1541874450275847,0.934082,-0.340332,0.319336
1541874450326877,0.957031,-0.373535,0.295898
1541874450348939,1.20313,-0.438477,0.249023
1541874450350941,0.921387,-0.162109,0.284668
1541874450365914,0.686523,-0.124023,0.318848
1541874450400945,0.748535,-0.105469,0.299316
1541874450402927,0.933105,-0.188965,0.291504
1541874450413955,1.10107,-0.337891,0.284668
1541874450428963,1.16113,-0.436523,0.249512
1541874450450980,1.14795,-0.467285,0.263184
1541874450473985,1.11816,-0.429199,0.306152
1541874450492051,1.05176,-0.401367,0.347656
1541874450514015,1.01074,-0.464355,0.357422
1541874450529037,0.968262,-0.44873,0.379883
1541874450549097,0.90918,-0.410645,0.394531
1541874450571075,0.927246,-0.386719,0.342285
1541874450589074,0.928223,-0.396973,0.338867
1541874450609091,0.91748,-0.424805,0.316895
1541874450631125,0.916992,-0.358887,0.313965
1541874450649140,0.883301,-0.288086,0.321289
1541874450670137,0.824707,-0.249023,0.344238
1541874450694156,0.810059,-0.317383,0.366699
1541874450717190,0.803223,-0.419434,0.407227
1541874450730185,0.841797,-0.446289,0.405762
1541874450751221,0.845215,-0.366211,0.403809
1541874450769235,0.786621,-0.350098,0.414551
1541874450791246,0.84082,-0.500977,0.44043
1541874450811269,1.07861,-0.71582,0.378906
1541874450829281,1.0957,-0.616699,0.34668
1541874450850298,0.958008,-0.320801,0.34668
1541874450871311,0.833008,-0.100098,0.354492
1541874450889328,0.858398,-0.100098,0.303711
1541874450910344,0.998535,-0.195801,0.166504
1541874450934365,1.03467,-0.178711,0.081543
1541874450949375,1.03613,-0.183594,0.0629883
1541874450970392,1.021,-0.198242,0.0825195
1541874450991444,0.968262,-0.290039,0.0834961
1541874451009420,0.924805,-0.388184,0.128906
1541874451031421,0.876465,-0.461426,0.157227
1541874451058461,0.847656,-0.50293,0.166016
1541874451069470,0.855469,-0.520508,0.166992
1541874451091470,0.895996,-0.523926,0.178711
1541874451114500,0.932617,-0.497559,0.219238
1541874451136505,0.931152,-0.447266,0.280273
1541874451159522,0.897949,-0.419434,0.333496
