timestamp,roll,pitch,yaw
1541872381098490,-0.633566,-0.0178647,-0.238831
1541872381120543,-0.634805,-0.0160295,-0.237923
1541872381135541,-0.635553,-0.0147267,-0.236814
1541872381158541,-0.637935,-0.0140371,-0.23544
1541872381180566,-0.642437,-0.0136775,-0.233498
1541872381195589,-0.646303,-0.0136952,-0.232199
1541872381234622,-0.649737,-0.0137873,-0.231232
1541872381236615,-0.652708,-0.0137329,-0.230055
1541872381249630,-0.655732,-0.0138801,-0.228279
1541872381272635,-0.658754,-0.0140442,-0.225468
1541872381286660,-0.661678,-0.0140365,-0.22297
1541872381315688,-0.663035,-0.0139343,-0.220705
1541872381359725,-0.66638,-0.0135016,-0.218357
1541872381369734,-0.669295,-0.013509,-0.215589
1541872381370714,-0.671126,-0.013696,-0.2122
1541872381383726,-0.674087,-0.0142364,-0.209104
1541872381404762,-0.675756,-0.0148621,-0.205943
1541872381427781,-0.67733,-0.0149149,-0.201936
1541872381445795,-0.680425,-0.0151401,-0.197256
1541872381464811,-0.684046,-0.0154732,-0.192421
1541872381487826,-0.688089,-0.0154118,-0.187858
1541872381505827,-0.692545,-0.0152119,-0.183222
1541872381524856,-0.697483,-0.0142439,-0.178228
1541872381550863,-0.703711,-0.0128577,-0.172884
1541872381564894,-0.711146,-0.0114641,-0.16771
1541872381584910,-0.718715,-0.0101306,-0.162778
1541872381607924,-0.727115,-0.00997876,-0.158463
1541872381624945,-0.736002,-0.010782,-0.15392
1541872381644960,-0.745586,-0.0129861,-0.149219
1541872381666978,-0.755955,-0.0176335,-0.14498
1541872381684987,-0.768778,-0.0256178,-0.141086
1541872381704993,-0.786371,-0.0379097,-0.136556
1541872381727063,-0.80864,-0.0519424,-0.130253
1541872381745026,-0.829183,-0.0650066,-0.123895
1541872381766083,-0.846483,-0.0779395,-0.119621
1541872381787077,-0.867217,-0.092729,-0.117831
1541872381805074,-0.891049,-0.104461,-0.117649
1541872381826107,-0.912216,-0.113351,-0.120181
1541872381847163,-0.925451,-0.118926,-0.125702
1541872381865132,-0.929927,-0.121883,-0.134272
1541872381886139,-0.928071,-0.122088,-0.146163
1541872381907176,-0.928174,-0.11937,-0.160303
1541872381925173,-0.93349,-0.113224,-0.17539
1541872381946198,-0.938797,-0.105791,-0.191073
1541872381967225,-0.941861,-0.0980546,-0.207962
1541872381985220,-0.942579,-0.091612,-0.227137
1541872382006238,-0.944782,-0.0867104,-0.24808
1541872382027294,-0.946457,-0.0839669,-0.271159
1541872382045270,-0.947276,-0.082298,-0.294709
