timestamp,x,y,z
1541874448774648,-15.3125,23.125,-8.0625
1541874448775650,-23.0625,6.3125,-39.6875
1541874448776650,-21.625,-7.0625,-74
1541874448796666,-24.9375,-26.9375,-110.625
1541874448835696,-41.4375,-32.5625,-118
1541874448838698,-36.75,-40.125,-127.875
1541874448856713,-6.5625,-47.75,-145.063
1541874448877766,18.625,-53.25,-159.813
1541874448894763,19.75,-60.625,-171.75
1541874448961813,6.375,-65.125,-184.25
1541874448961813,3.9375,-65.125,-195.188
1541874449014853,21.5,-61,-200.375
1541874449216050,46.75,-61.1875,-195.875
1541874449456238,38.9375,-58.375,-183.125
1541874449458240,7.5,-46.8125,-164.063
1541874449479222,65.0625,4.3125,38.0625
1541874449481222,95.3125,-29.8125,189.25
1541874449517271,82.9375,-31.875,191.25
1541874449524293,81.6875,-34.625,194.375
1541874449526258,86.75,-37.375,195.188
1541874449548272,98.125,-39.6875,193.938
1541874449560323,106.25,-38.8125,191.813
1541874449583304,108.063,-35.3125,186.563
1541874449597295,103,-33.125,180.313
1541874449620315,92.1875,-34.6875,168.313
1541874449643385,79.0625,-31.3125,153.813
1541874449697388,67.375,-24.8125,134.625
1541874449718444,58.4375,-23.75,107.25
1541874449721429,57.375,-26.1875,73.875
1541874449765428,53.0625,-27,45.125
1541874449771451,52.0625,-26,17.9375
1541874449773447,32.8125,-36.6875,-34.9375
1541874449791501,20.5,-48.8125,-64.8125
1541874449813484,18.25,-55.3125,-99.625
1541874449828495,22.25,-55.75,-123.813
1541874449851494,1.1875,-58.375,-133.563
1541874449873567,-26.4375,-64.3125,-143.875
1541874449888578,-28.375,-65.8125,-154.063
1541874449911544,-17.75,-63.125,-161.313
1541874449936562,-15.3125,-58.75,-167
1541874449948586,-28.5625,-52.6875,-172.75
1541874449971642,-47,-44.5,-177.375
1541874449993625,-64.5,-36.25,-180
1541874450008637,-84,-27.5625,-182.188
1541874450031636,-102.938,-18.3125,-181.563
1541874450062714,-118.063,-8.375,-177.688
1541874450071667,-124.375,-1.125,-170.5
1541874450107695,-123.75,3.5,-161.813
1541874450122718,-115.875,4.625,-152.438
1541874450167746,-97.3125,3.75,-140.375
1541874450191778,-66.5,0.4375,-122
1541874450200789,-35.8125,-4.9375,-96.4375
1541874450253825,-4.1875,-10.375,-41
1541874450275847,-5.4375,-11.125,-16.5
1541874450326877,7.3125,-17.875,25.3125
1541874450348939,1.75,-21.5,45.8125
1541874450350941,1.75,-11,78.5
1541874450365914,17.875,-9.0625,105.5
1541874450400945,35.125,-10.125,130.813
1541874450402927,51.6875,-12.1875,154
1541874450413955,65.875,-15.0625,169.688
1541874450428963,75.75,-15.6875,173.063
1541874450450980,84.125,-11.875,170
1541874450473985,86.125,-4.3125,171.313
1541874450492051,65.875,-0.9375,169.625
1541874450514015,51.75,1.4375,168.438
1541874450529037,67.0625,8.5,172.625
1541874450549097,77.125,14,170.563
1541874450571075,75.6875,18.6875,167.188
1541874450589074,75.25,22.0625,160.625
1541874450609091,83.1875,24.5625,153
1541874450631125,90.5,28.3125,142.375
1541874450649140,87.625,33.5625,129.563
1541874450670137,69.3125,36.8125,115.438
1541874450694156,45.375,39.1875,98.6875
1541874450717190,33.0625,42.3125,77.5625
1541874450730185,20.125,42.625,51.8125
1541874450751221,-4.6875,42,21.625
1541874450769235,-33.5625,36.625,-10.125
1541874450791246,-52.375,20.1875,-43.9375
1541874450811269,-51.75,0.3125,-81.625
1541874450829281,-27.3125,-13.8125,-115.75
1541874450850298,-1.75,-17.8125,-129.563
1541874450871311,-6.75,-20.4375,-129.188
1541874450889328,-29,-25.5,-128.125
1541874450910344,-40.125,-26.875,-129
1541874450934365,-34,-20.75,-128.688
1541874450949375,-33.5,-15.9375,-126.938
1541874450970392,-56.9375,-15.875,-126.063
1541874450991444,-85.375,-15.875,-127.938
1541874451009420,-101.25,-14,-129.875
1541874451031421,-105.625,-13.0625,-130.125
1541874451058461,-111.25,-16.875,-129.375
1541874451069470,-110.313,-22.3125,-129.313
1541874451091470,-105.125,-28.375,-129
1541874451114500,-96.6875,-33.875,-127.75
1541874451136505,-95.4375,-37.875,-125.25
1541874451159522,-89.0625,-41.875,-120.938
1541874451188544,-84,-44.5625,-113.063
1541874451190546,-73.4375,-46.0625,-103.5
1541874451234596,-59.5625,-47.875,-92.6875
1541874451248610,-40.5,-47.3125,-82.6875
1541874451251609,-24.25,-44.0625,-72.0625
1541874451272650,-30.3125,-39,-62.0625
1541874451291639,-50.125,-31.9375,-52.125
1541874451315646,-69.25,-26.3125,-40.75
1541874451338672,-78.3125,-23.3125,-27.8125
1541874451377705,-69.375,-20.5,-13.4375
1541874451391724,-42.625,-14.5,2.1875
1541874451393705,-17,-6.6875,22.0625
1541874451422745,-7.4375,3.875,42.875
1541874451443768,-3.25,14.875,61.0625
1541874451466782,10.0625,28.3125,77.9375
1541874451488834,26.875,44.375,95.3125
1541874451491798,25.375,60.3125,113.625
1541874451524862,11.3125,75.4375,127.75
1541874451531833,-7.6875,92.5625,138.875
1541874451555838,-33.25,100.75,148.313
1541874451578882,-54.875,103.938,155.813
1541874451600869,-51.5,101,157.813
1541874451639899,-33.1875,97.3125,154
1541874451681952,-11.9375,92,145.75
1541874451692950,2.625,88.1875,132.813
1541874451735993,10.1875,81.8125,117.938
1541874451745989,17.8125,66.0625,78.25
1541874451752000,8.5625,56.8125,34.125
1541874451788035,-3.875,46.25,10.9375
1541874451791018,-4.0625,35.9375,-11.1875
1541874451812050,-2.8125,27,-32.25
1541874451834052,-5.9375,20,-52.875
1541874451863085,-14.625,18.0625,-73.75
1541874451878086,-26.1875,15.875,-94.875
1541874451899158,-45.0625,12.625,-110.25
1541874451916116,-52.5,11.3125,-119.688
1541874451970172,-48.9375,14.75,-125.625
1541874451982182,-47,19.9375,-129.813
1541874452066254,-73.3125,20.25,-143.25
1541874452089306,-101.313,19.375,-153.313
1541874452104263,-101.125,15.5,-148.375
1541874452150299,-87.0625,4.625,-141.438
1541874452172353,-83.0625,1.625,-138.5
1541874452173321,-83.6875,-0.9375,-136
1541874452405501,-86.6875,-4.0625,-133.313
1541874452426536,-87.25,-6.4375,-131.375
1541874452442548,0,-16.25,12.0625
1541874452448540,-5.75,-9.6875,24.75
1541874452463564,-5.75,-5.6875,33.25
1541874452472572,2.5625,-3.75,38.4375
1541874452493586,17.6875,-3.0625,40.625
1541874452515598,33.0625,-1.75,40.9375
1541874452546630,49.125,3.75,43.6875
1541874452599652,61.125,11.375,48.5625
1541874452628732,57.25,17.6875,53.75
1541874452653696,31.5,36.1875,63.5
1541874452675732,21.8125,43.8125,73.1875
1541874452696732,17.8125,48.625,97
1541874452698730,22.5,50.25,99.75
1541874452750791,29,52.5,100.063
1541874452772805,28.5,52.5,98.375
1541874452773789,25.0625,50.875,96.1875
1541874452846877,21.3125,45.0625,90.625
1541874452862862,27.1875,38.9375,83.5625
1541874452885896,41,18.4375,64.75
1541874452958989,44.6875,8.4375,59.25
1541874452961960,49.0625,0.375,53.9375
1541874452982953,54.1875,-7.5625,50.5
1541874452986977,68.75,-25.6875,45.8125
1541874453010030,64.5,-24.375,46.125
1541874453017000,53.5,-20,45.4375
1541874453033011,39.9375,-16.9375,43.6875
1541874453062016,26,-14.3125,41.8125
1541874453077047,14.4375,-11.1875,41.3125
1541874453094044,6.3125,-8.6875,42.125
1541874453116059,5.4375,-7.8125,43.125
1541874453139089,13.0625,-8.3125,44.9375
1541874453161110,19.4375,-8.5625,45.25
1541874453183132,24.375,-9.1875,45.375
1541874453214155,24.1875,-10.625,45.9375
1541874453216150,20.75,-14.8125,46.125
1541874453236168,21.25,-18,46.875
1541874453266188,25.5625,-18.1875,50
1541874453273182,34.6875,-17,51.25
1541874453296220,42.25,-15.25,51.875
1541874453317249,41.3125,-12.375,51.0625
1541874453341272,34.125,-10.3125,49.6875
1541874453363268,27.6875,-9.8125,49.75
1541874453384289,22.6875,-11.4375,50.3125
1541874453393286,23.3125,-10.1875,50.875
1541874453439331,25.8125,-10.5625,51.1875
1541874453441313,27.3125,-7.9375,54.3125
1541874453461330,24.9375,-6.8125,57.25
1541874453476356,18.9375,-6.3125,61.375
1541874453497376,14.375,-6.125,65.75
1541874453519390,18.3125,-6.9375,70.375
1541874453544412,24.625,-9.3125,73.875
1541874453564429,28.375,-11.4375,77.5625
1541874453573418,30.5,-14.3125,82.4375
1541874453596435,33.875,-15.375,87.75
1541874453618453,37.75,-13.875,91.6875
1541874453640470,37.4375,-12.375,93.125
1541874453656484,33.0625,-11.75,93.0625
1541874453693531,25.8125,-10.0625,91.9375
1541874453695525,20.6875,-8.1875,88.8125
1541874453716530,11,-4,85.0625
1541874453737557,1.8125,-1.875,80.75
1541874453752559,-7.125,-1.125,85.9375
1541874453775596,-0.375,-1.25,90.4375
1541874453798613,12.9375,0.625,92.625
1541874453812608,18,0.375,94.5625
1541874453835642,9.75,-0.375,97.25
1541874453858661,7.75,-1.625,95.5625
1541874453872663,12.375,-3.8125,100.438
1541874453895670,14.8125,-3.375,105.438
1541874453918689,14.8125,-0.375,109.688
1541874453932702,12.3125,-3.75,113.125
1541874453955738,10.9375,-3.8125,118.313
1541874453978757,14.4375,-6.5625,116.125
1541874453999752,16.375,-3.75,114.625
1541874454015765,11.125,-1.8125,112
1541874454038783,7,-2.125,109.375
1541874454059799,8.25,-0.9375,106.438
1541874454083857,11.6875,-3.5,103.25
1541874454098850,17.5,-12.6875,98.125
1541874454119902,8.9375,-8.6875,76.9375
1541874454135859,-3.3125,-2.5,65
1541874454158933,6.625,8.6875,54.3125
1541874454179948,-3.8125,22.4375,57.75
1541874454195906,7.5,15.375,51.4375
1541874454218944,14.25,-2.6875,57.6875
1541874454239960,34.875,-23.375,51.25
1541874454255008,34.4375,-35.0625,49.5625
1541874454261974,19.3125,-47.125,45.125
1541874454283998,14.9375,-63.5625,45.625
1541874454306013,16.3125,-79.5625,42.6875
1541874454332028,12.875,-88.0625,41
1541874454345058,11.9375,-95.25,37.6875
1541874454366041,15.75,-100.625,31.75
1541874454381054,16.4375,-101.125,27.1875
1541874454404089,7.125,-98.3125,22.1875
1541874454426106,-3.8125,-96.625,21.875
1541874454441102,2.5,-94.625,22.875
1541874454464172,10.5,-92.625,27.4375
1541874454486154,12.5,-90.5625,30.625
1541874454501165,5.5,-92.75,29.125
1541874454524219,-3.125,-93.9375,20.375
1541874454546206,-5.1875,-96.875,13
1541874454561197,4.75,-99.5,5.5
1541874454584230,15.8125,-99.125,1.0625
1541874454602281,26.4375,-94.6875,-0.625
1541874454621260,21.25,-89.6875,-5.625
1541874454644278,-0.125,-87.0625,-10.875
1541874454662273,-3.625,-82,-13.375
1541874454681308,23.375,-75.0625,-16
1541874454711311,53.9375,-65.5625,-16.6875
1541874454722374,45.375,-59,-22.3125
1541874454741337,12.4375,-53,-27.3125
1541874454764372,-2.0625,-50.75,-23.1875
1541874454782382,35.6875,-40.75,-11.125
1541874454809409,62.8125,-29.9375,-5.6875
1541874454824420,28.625,-16.6875,4.125
1541874454842423,6.5625,-0.625,7.875
1541874454869449,4.6875,7.875,8.3125
1541874454892473,10,8.875,5.0625
1541874454909486,11.125,5.1875,2.75
1541874454921496,10.875,1.9375,3.4375
1541874454946515,11.6875,2.125,5.9375
1541874454961527,12.8125,3.3125,9.4375
1541874454981534,12.4375,7.3125,10.8125
1541874455011562,8.6875,11.5625,10.8125
1541874455021566,3.5625,18.5625,8.125
1541874455041589,3.9375,22.9375,3.1875
1541874455063590,6.5625,27.5,-2.75
1541874455081602,10.6875,32.25,-7.8125
1541874455104657,11.5,37.125,-14.5625
1541874455123655,10,40.625,-19.5
