timestamp,x,y,z
1541872381098490,-8.0625,0,4.8125
1541872381120543,-3.8125,2.125,4.75
1541872381135541,-2.75,0.3125,4.25
1541872381158541,-8,-1.25,4.1875
1541872381180566,-11.9375,-3.1875,4.5625
1541872381195589,-10.75,-2.4375,2.5625
1541872381234622,-9.9375,-2.0625,1.875
1541872381236615,-8.4375,-2.6875,2.125
1541872381249630,-9.6875,-4.375,3.25
1541872381272635,-10.25,-5.5625,5.75
1541872381286660,-9.375,-4.6875,5.5
1541872381315688,-5.875,-3.9375,5.0625
1541872381359725,-9.5625,-3.875,5.625
1541872381369734,-8.25,-5.875,5.375
1541872381370714,-6.4375,-7.375,6.5625
1541872381383726,-9.6875,-7.0625,5.8125
1541872381404762,-6.375,-7.25,6
1541872381427781,-6.6875,-8.3125,8
1541872381445795,-11,-10,9
1541872381464811,-11.9375,-10.0625,9.6875
1541872381487826,-12.6875,-7.8125,10.4375
1541872381505827,-13.1875,-7.875,10.9375
1541872381524856,-14,-7.4375,12.5
1541872381550863,-17.8125,-7.5,13.5625
1541872381564894,-19.375,-6.9375,13.4375
1541872381584910,-18.8125,-6.8125,12.9375
1541872381607924,-21.6875,-7.5,9.8125
1541872381624945,-24.25,-10,8.375
1541872381644960,-27.1875,-13.875,5.8125
1541872381666978,-29.75,-17.3125,0.125
1541872381684987,-38.375,-25.25,-8.4375
1541872381704993,-57.5625,-35.375,-16.1875
1541872381727063,-71.0625,-40.1875,-14.6875
1541872381745026,-62.8125,-35.1875,-11.125
1541872381766083,-54.1875,-30.1875,-14.1875
1541872381787077,-68.0625,-23.5625,-18.4375
1541872381805074,-73.4375,-8.875,-9.1875
1541872381826107,-62,3.6875,-7
1541872381847163,-38.75,16,-4.9375
1541872381865132,-12.5,25.75,-6.875
1541872381886139,-1.375,35.875,-8.0625
1541872381907176,-7.6875,43.75,-8.375
1541872381925173,-22.3125,48.5625,-5.6875
1541872381946198,-20.625,49.4375,-8.4375
1541872381967225,-13.875,50.5625,-12.0625
1541872381985220,-6.5625,51.625,-22.25
1541872382006238,-10.0625,51.5625,-31.125
1541872382027294,-8.1875,52.8125,-39.625
1541872382045270,-6,50.0625,-45.75
1541872382066287,-5.625,44.625,-53.0625
1541872382087315,-12.9375,32.9375,-63.125
1541872382106323,-11.9375,22.8125,-70.25
1541872382126345,-7.9375,19.3125,-78.5625
1541872382147369,-14.5625,12.875,-85.0625
1541872382165370,-25.5,5.9375,-87.1875
1541872382188404,-38.875,8.75,-91.5625
1541872382207423,-26.3125,10.5625,-94.9375
1541872382225434,-26.25,2.0625,-102.438
1541872382254445,-27.4375,-5.8125,-107.563
1541872382268512,-31.5,-10,-114.188
1541872382284482,-28.6875,-21.6875,-116.25
1541872382307501,-35.125,-27.375,-118.125
1541872382328558,-39.5,-30.5625,-113.125
1541872382350542,-33.375,-28.5,-111.125
1541872382367551,-29.25,-32.1875,-107.625
1541872382389565,-13.4375,-33.875,-109.188
1541872382410626,2.875,-47.625,-110.313
1541872382426604,-2.6875,-46.1875,-101.125
1541872382449604,-4.375,-37.25,-90.5625
1541872382470675,-13.375,-28.6875,-77.1875
1541872382486646,-25.125,-27.3125,-74.9375
1541872382509653,-19.4375,-38.1875,-71.0625
1541872382530690,9.125,-33.4375,-72.6875
1541872382546687,25.75,-28.375,-67
1541872382569717,12.1875,-17.8125,-66.5625
1541872382590719,-19,-3.375,-63.0625
1541872382606735,-35.9375,2.4375,-57.625
1541872382629766,-39.5625,1.5,-52.9375
1541872382650769,-43.3125,-6.1875,-47.8125
1541872382666837,-26.8125,-10.5625,-41.6875
1541872382689821,-8.9375,-9.125,-27.375
1541872382713835,-22.625,-13.1875,-14.125
1541872382726887,-30.8125,-11.75,-5.1875
1541872382749853,-22,-10.375,0.375
1541872382771885,-18.3125,-7.9375,-2.125
1541872382786937,-17.75,-10,-4.9375
1541872382809903,-6.9375,-15,-8.6875
1541872382831934,3.1875,-20.4375,-10.375
1541872382852955,6.375,-24.8125,-14.5625
1541872382869965,3.875,-26.625,-20.625
1541872382891971,-3.3125,-28.0625,-28.3125
1541872382913004,-1.9375,-24.5,-38.6875
1541872382931000,6.8125,-22.3125,-44.9375
1541872382952020,15.5,-20.75,-50.1875
1541872382973054,18.8125,-20.375,-50.125
1541872382990068,17.75,-17.125,-49.375
1541872383012082,8.4375,-14.25,-45.125
1541872383033139,-0.625,-11.5625,-40.375
1541872383050117,-3.6875,-9.25,-35.0625
1541872383072117,-3.9375,-7.75,-30
1541872383093153,-5.125,-5.1875,-25.625
1541872383110164,-14.8125,-2.5,-21.5625
1541872383132168,-24.25,-0.0625,-18.6875
1541872383153202,-30.375,1.375,-16.6875
1541872383170197,-33.4375,2.1875,-16.1875
1541872383192217,-31,3.1875,-15.8125
1541872383213251,-32,5.1875,-15.6875
1541872383229246,-39.5,6.8125,-15.5
1541872383252284,-44.375,7.75,-12
1541872383273301,-45.9375,8.1875,-7.6875
1541872383290315,-49.625,8.8125,2.3125
1541872383312335,-50.375,7.625,10.6875
1541872383333388,-53.125,5.9375,19.6875
1541872383349364,-55.5,7.9375,27.9375
1541872383372384,-39.5625,4.8125,41.375
1541872383393401,-24.375,6.9375,44.5
1541872383409414,-29.25,1.6875,49.5625
1541872383432414,-22.1875,1.75,45.875
