timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1541872381241620,2,1,-1,5,2,-1,-3,-1
1541872381241620,0,4,6,-12,-4,1,1,-1
1541872381242610,1,-2,-3,5,-3,-2,-5,-3
1541872381242610,0,-4,-2,2,0,2,2,3
1541872381243611,-2,1,3,-4,-3,2,-1,-3
1541872381243611,0,1,1,1,0,-7,-3,0
1541872381244617,1,0,0,-4,1,3,4,1
1541872381244617,-5,2,3,-12,-2,-2,8,-2
1541872381254622,-2,-4,-6,12,-1,-1,-10,0
1541872381254622,1,-5,-5,-5,1,2,6,0
1541872381271634,-1,-3,0,7,0,-3,-8,0
1541872381271634,1,-1,3,-3,2,-1,-2,0
1541872381272635,-8,0,3,-7,1,0,7,-3
1541872381272635,-1,2,0,4,-3,0,1,-1
1541872381285700,-2,-7,-2,1,-1,-2,-2,0
1541872381285700,2,1,-15,-3,-5,1,-5,1
1541872381293672,2,0,7,2,0,-3,0,-1
1541872381293672,-2,-1,-6,-26,-9,0,-2,-1
1541872381308674,-2,7,7,9,4,0,3,1
1541872381308674,-3,1,-7,2,-4,-2,-6,-6
1541872381316680,0,-2,-2,-7,-2,-1,-2,0
1541872381316680,0,-3,-5,13,2,0,-3,-6
1541872381329701,-1,1,-5,-13,-4,0,5,-1
1541872381329701,3,-2,4,-2,-2,0,-4,-1
1541872381371726,-1,-5,0,8,4,0,1,1
1541872381371726,2,2,-1,2,2,-3,0,0
1541872381372735,-1,-1,-2,-1,-1,-3,2,1
1541872381372735,1,-2,-7,-2,-2,2,3,-3
1541872381375733,2,-2,1,3,-1,-2,-12,2
1541872381375733,-2,-5,-9,-3,2,1,5,5
1541872381376720,3,-7,0,6,3,2,-1,-6
1541872381376720,3,7,2,-12,-5,-6,2,3
1541872381382727,-4,-2,-2,1,0,1,5,-4
1541872381382727,1,-4,1,5,1,-2,-4,-3
1541872381389784,-6,2,2,3,-3,0,0,1
1541872381389784,3,0,-3,-9,-1,1,-1,0
1541872381397794,-3,-3,-13,-37,-8,1,-1,-1
1541872381397794,-3,14,12,11,0,-3,-3,-1
1541872381412768,-2,-1,-19,1,-3,-1,-1,-1
1541872381412768,0,-1,4,13,1,-2,-3,-1
1541872381419774,4,20,23,13,0,-2,1,-1
1541872381419774,-4,-6,-32,-22,-4,-1,0,-4
1541872381443795,2,-2,5,-3,0,-1,-3,-2
1541872381443795,-3,2,-1,5,1,-2,-3,-1
1541872381444795,0,-3,0,2,1,0,0,-1
1541872381444795,0,-3,7,4,-3,0,2,2
1541872381457805,2,3,4,-3,-4,-1,8,-1
